value_rank,player,team,pos,age,salary_millions,vorp,ws,bpm,vorp_per_million,position_avg_vorp,vorp_above_position,position_adj_value,expected_salary_millions,overpay_millions,value_tier,pts_per_game,mp_per_game,g
163,Jalen Green,PHO,SG,23.0,33.58,0.2,0.3,-1.1,0.006,0.4457142857142857,-0.246,-0.0073,9.2,24.38,Overpaid,17.8,25.9,32
164,Obi Toppin,IND,PF,27.0,14.0,0.5,1.1,3.0,0.0357,0.61375,-0.114,-0.0081,11.08,2.92,Fair,11.6,17.7,24
165,Naji Marshall,DAL,SF,28.0,9.0,0.8,4.3,-0.6,0.0889,0.8842857142857142,-0.084,-0.0093,12.96,-3.96,Fair,15.2,29.5,74
165,Kristaps Porziņģis,GSW,C,30.0,30.73,0.8,2.4,1.9,0.026,1.0864864864864865,-0.286,-0.0093,12.96,17.77,Overpaid,16.7,24.0,32
167,Jusuf Nurkić,UTA,C,31.0,19.38,0.9,1.5,1.1,0.0464,1.0864864864864865,-0.186,-0.0096,13.58,5.8,Poor Value,10.9,26.4,41
168,Darius Garland,LAC,PG,26.0,39.45,0.6,2.6,-0.2,0.0152,0.9902777777777777,-0.39,-0.0099,11.71,27.74,Overpaid,18.8,29.9,45
169,Trae Young,WAS,PG,27.0,46.39,0.5,1.4,2.8,0.0108,0.9902777777777777,-0.49,-0.0106,11.08,35.31,Overpaid,17.9,25.6,15
170,Josh Green,CHO,SG,25.0,13.67,0.3,1.9,-0.7,0.0219,0.4457142857142857,-0.146,-0.0107,9.83,3.84,Fair,4.3,15.7,58
171,Draymond Green,GSW,PF,35.0,25.89,0.3,1.7,-1.4,0.0116,0.61375,-0.314,-0.0121,9.83,16.06,Overpaid,8.4,27.5,68
172,Malik Monk,SAC,SG,27.0,18.8,0.2,1.0,-1.3,0.0106,0.4457142857142857,-0.246,-0.0131,9.2,9.6,Poor Value,12.5,22.0,62
173,Cameron Johnson,DEN,SF,29.0,21.06,0.6,3.7,-0.6,0.0285,0.8842857142857142,-0.284,-0.0135,11.71,9.35,Poor Value,12.2,30.5,54
174,Day'Ron Sharpe,BRK,C,24.0,6.25,1.0,3.5,1.4,0.16,1.0864864864864865,-0.086,-0.0138,14.21,-7.96,Fair,8.7,18.7,62
175,Jaden Ivey,CHI,SG,23.0,10.11,0.3,1.3,0.0,0.0297,0.4457142857142857,-0.146,-0.0144,9.83,0.28,Fair,8.5,18.1,37
175,Deandre Ayton,LAL,C,27.0,33.65,0.6,6.2,-0.9,0.0178,1.0864864864864865,-0.486,-0.0144,11.71,21.94,Overpaid,12.5,27.2,72
177,Alex Sarr,WAS,C,20.0,11.81,0.9,1.6,0.7,0.0762,1.0864864864864865,-0.186,-0.0157,13.58,-1.77,Fair,16.3,27.2,48
178,Kevin Huerter,DET,SF,27.0,17.99,0.6,2.5,-0.6,0.0334,0.8842857142857142,-0.284,-0.0158,11.71,6.28,Poor Value,10.0,22.4,69
179,Kenrich Williams,OKC,PF,31.0,7.16,0.5,2.3,0.2,0.0698,0.61375,-0.114,-0.0159,11.08,-3.92,Fair,6.5,15.3,56
180,Domantas Sabonis,SAC,C,29.0,42.34,0.4,1.1,0.6,0.0094,1.0864864864864865,-0.686,-0.0162,10.45,31.89,Overpaid,15.8,29.7,19
181,Jaren Jackson Jr.,UTA,C,26.0,35.0,0.5,1.4,-0.6,0.0143,1.0864864864864865,-0.586,-0.0167,11.08,23.92,Overpaid,19.4,30.3,48
182,Max Christie,DAL,SG,22.0,7.71,0.3,2.7,-1.5,0.0389,0.4457142857142857,-0.146,-0.0189,9.83,-2.12,Fair,12.3,29.1,77
183,Coby White,CHO,SG,25.0,12.89,0.2,2.0,-1.3,0.0155,0.4457142857142857,-0.246,-0.0191,9.2,3.69,Fair,17.4,25.0,50
184,Daniel Gafford,DAL,C,27.0,14.39,0.8,4.1,0.7,0.0556,1.0864864864864865,-0.286,-0.0199,12.96,1.43,Fair,9.5,21.7,55
185,Matas Buzelis,CHI,PF,21.0,5.46,0.5,2.6,-1.0,0.0916,0.61375,-0.114,-0.0209,11.08,-5.62,Fair,16.3,29.2,77
186,Andrew Nembhard,IND,PG,26.0,18.1,0.6,2.8,-0.8,0.0331,0.9902777777777777,-0.39,-0.0215,11.71,6.39,Poor Value,16.9,31.3,57
187,Simone Fontecchio,MIA,SF,30.0,8.31,0.7,2.6,0.5,0.0842,0.8842857142857142,-0.184,-0.0221,12.33,-4.02,Fair,8.5,16.8,70
188,Dejounte Murray,NOP,PG,29.0,30.8,0.3,0.6,1.4,0.0097,0.9902777777777777,-0.69,-0.0224,9.83,20.97,Overpaid,16.7,27.8,14
189,Ja Morant,MEM,PG,26.0,39.45,0.1,0.3,-1.5,0.0025,0.9902777777777777,-0.89,-0.0226,8.57,30.88,Overpaid,19.5,28.5,20
190,Myles Turner,MIL,C,29.0,25.32,0.5,3.0,-0.9,0.0197,1.0864864864864865,-0.586,-0.0231,11.08,14.24,Poor Value,11.9,26.9,71
191,Pelle Larsson,MIA,SG,24.0,1.96,0.4,4.1,-1.2,0.2041,0.4457142857142857,-0.046,-0.0235,10.45,-8.49,Fair,11.4,26.4,70
192,Jaxson Hayes,LAL,C,25.0,3.45,1.0,5.0,1.2,0.2899,1.0864864864864865,-0.086,-0.0249,14.21,-10.76,Elite Value,7.5,18.3,66
193,Kentavious Caldwell-Pope,MEM,SG,32.0,21.62,-0.1,0.7,-2.5,-0.0046,0.4457142857142857,-0.546,-0.0253,7.32,14.3,Poor Value,8.4,21.3,51
194,Ivica Zubac,IND,C,28.0,18.89,0.6,4.2,-0.3,0.0318,1.0864864864864865,-0.486,-0.0257,11.71,7.18,Poor Value,14.1,30.1,48
194,Isaiah Stewart,DET,C,24.0,15.0,0.7,4.1,0.0,0.0467,1.0864864864864865,-0.386,-0.0257,12.33,2.67,Fair,10.0,22.7,58
196,Jonathan Kuminga,ATL,PF,23.0,23.8,0.0,1.0,-2.0,0.0,0.61375,-0.614,-0.0258,7.95,15.85,Overpaid,12.2,23.1,36
197,Wendell Carter Jr.,ORL,C,26.0,10.85,0.8,6.2,-0.6,0.0737,1.0864864864864865,-0.286,-0.0264,12.96,-2.11,Fair,11.8,29.3,78
198,Buddy Hield,ATL,SG,33.0,9.22,0.2,1.0,-1.0,0.0217,0.4457142857142857,-0.246,-0.0267,9.2,0.02,Fair,7.6,16.1,51
199,Marcus Smart,LAL,SG,31.0,19.92,-0.1,2.0,-2.2,-0.005,0.4457142857142857,-0.546,-0.0274,7.32,12.6,Poor Value,9.3,28.5,62
200,Quentin Grimes,PHI,SG,25.0,8.74,0.2,3.6,-1.6,0.0229,0.4457142857142857,-0.246,-0.0281,9.2,-0.46,Fair,13.4,29.4,75
201,Shaedon Sharpe,POR,SG,22.0,8.4,0.2,1.3,-1.4,0.0238,0.4457142857142857,-0.246,-0.0293,9.2,-0.8,Fair,20.8,29.4,50
201,P.J. Washington,DAL,PF,27.0,14.15,0.2,1.7,-1.6,0.0141,0.61375,-0.414,-0.0293,9.2,4.95,Fair,14.2,31.0,56
203,Christian Braun,DEN,SG,24.0,4.92,0.3,3.0,-1.2,0.061,0.4457142857142857,-0.146,-0.0297,9.83,-4.91,Fair,12.0,31.8,44
204,Kyle Kuzma,MIL,PF,30.0,22.41,-0.1,1.9,-2.3,-0.0045,0.61375,-0.714,-0.0319,7.32,15.09,Overpaid,13.0,26.2,69
205,Al Horford,GSW,C,39.0,5.68,0.9,2.1,1.6,0.1585,1.0864864864864865,-0.186,-0.0327,13.58,-7.9,Fair,8.3,21.5,45
206,Davion Mitchell,MIA,PG,27.0,11.6,0.6,4.3,-0.9,0.0517,0.9902777777777777,-0.39,-0.0336,11.71,-0.11,Fair,9.3,28.6,70
207,Bogdan Bogdanović,LAC,SG,33.0,16.02,-0.1,0.2,-3.1,-0.0062,0.4457142857142857,-0.546,-0.0341,7.32,8.7,Poor Value,7.4,19.7,23
208,Jonathan Isaac,ORL,PF,28.0,15.0,0.1,0.9,-1.6,0.0067,0.61375,-0.514,-0.0343,8.57,6.43,Poor Value,2.6,10.0,52
209,Jake LaRavia,LAL,PF,24.0,6.0,0.4,3.8,-1.2,0.0667,0.61375,-0.214,-0.0357,10.45,-4.45,Fair,8.2,25.1,82
210,Anthony Black,ORL,PG,22.0,7.97,0.7,2.6,-0.6,0.0878,0.9902777777777777,-0.29,-0.0364,12.33,-4.36,Fair,15.0,29.8,64
211,Derrick Jones Jr.,LAC,SF,28.0,10.0,0.5,2.8,-0.7,0.05,0.8842857142857142,-0.384,-0.0384,11.08,-1.08,Fair,10.1,27.0,50
212,Rui Hachimura,LAL,PF,27.0,18.26,-0.1,3.2,-2.2,-0.0055,0.61375,-0.714,-0.0391,7.32,10.94,Poor Value,11.5,28.3,68
213,Brandon Williams,DAL,PG,26.0,2.27,0.9,2.5,0.4,0.3965,0.9902777777777777,-0.09,-0.0396,13.58,-11.31,Elite Value,13.0,22.2,66
214,Klay Thompson,DAL,SF,35.0,16.67,0.2,0.5,-1.4,0.012,0.8842857142857142,-0.684,-0.041,9.2,7.47,Poor Value,11.7,21.7,69
215,Kyle Anderson,MIN,SF,32.0,9.22,0.5,1.9,0.4,0.0542,0.8842857142857142,-0.384,-0.0416,11.08,-1.86,Fair,6.2,19.8,43
216,Jordan Poole,NOP,PG,26.0,31.85,-0.4,0.2,-3.5,-0.0126,0.9902777777777777,-1.39,-0.0436,5.44,26.41,Overpaid,13.4,23.9,39
217,Jarred Vanderbilt,LAL,PF,26.0,11.57,0.1,1.8,-1.5,0.0086,0.61375,-0.514,-0.0444,8.57,3.0,Fair,4.4,17.4,65
218,Dillon Brooks,PHO,SF,30.0,21.12,-0.1,2.1,-2.3,-0.0047,0.8842857142857142,-0.984,-0.0466,7.32,13.8,Poor Value,20.2,30.4,56
219,Tristan Da Silva,ORL,SF,24.0,3.81,0.7,3.3,-0.6,0.1837,0.8842857142857142,-0.184,-0.0483,12.33,-8.52,Fair,9.9,24.7,77
220,Luguentz Dort,OKC,SF,26.0,18.22,0.0,3.0,-2.0,0.0,0.8842857142857142,-0.884,-0.0485,7.95,10.27,Poor Value,8.3,26.8,69
221,Max Strus,CLE,SF,29.0,15.94,0.1,0.7,-1.2,0.0063,0.8842857142857142,-0.784,-0.0492,8.57,7.37,Poor Value,11.2,24.0,12
222,Gui Santos,GSW,PF,23.0,2.22,0.5,2.7,-0.6,0.2252,0.61375,-0.114,-0.0514,11.08,-8.86,Fair,9.2,20.5,68
223,Tidjane Salaün,CHO,PF,20.0,7.86,0.2,1.4,-0.8,0.0254,0.61375,-0.414,-0.0527,9.2,-1.34,Fair,6.0,15.5,37
224,Khris Middleton,DAL,SF,34.0,33.3,-0.9,0.3,-4.4,-0.027,0.8842857142857142,-1.784,-0.0536,2.31,30.99,Overpaid,10.2,22.8,63
225,Zach Collins,CHI,C,28.0,18.08,0.1,0.5,0.2,0.0055,1.0864864864864865,-0.986,-0.0545,8.57,9.51,Poor Value,9.7,18.4,10
226,Steven Adams,HOU,C,32.0,14.13,0.3,2.1,-0.5,0.0212,1.0864864864864865,-0.786,-0.0556,9.83,4.3,Fair,5.8,22.8,32
227,Nicolas Batum,LAC,PF,37.0,5.6,0.3,1.8,-1.0,0.0536,0.61375,-0.314,-0.0561,9.83,-4.23,Fair,4.0,17.5,74
228,Dominick Barlow,PHI,PF,22.0,3.42,0.4,3.9,-1.1,0.117,0.61375,-0.214,-0.0626,10.45,-7.03,Fair,7.7,23.8,71
229,Corey Kispert,ATL,SF,26.0,13.98,0.0,1.8,-1.9,0.0,0.8842857142857142,-0.884,-0.0632,7.95,6.03,Fringe,9.2,18.6,58
230,Josh Okogie,HOU,SG,27.0,2.3,0.3,2.7,-1.2,0.1304,0.4457142857142857,-0.146,-0.0635,9.83,-7.53,Fair,4.5,17.4,78
231,De'Andre Hunter,SAC,SF,28.0,23.3,-0.6,1.1,-3.9,-0.0258,0.8842857142857142,-1.484,-0.0637,4.19,19.11,Overpaid,13.7,26.1,45
232,Jordan Clarkson,NYK,SG,33.0,12.95,-0.4,1.9,-3.3,-0.0309,0.4457142857142857,-0.846,-0.0653,5.44,7.51,Fringe,8.6,17.8,72
232,Jeremy Sochan,NYK,PF,22.0,7.87,0.1,1.2,-1.2,0.0127,0.61375,-0.514,-0.0653,8.57,-0.7,Fair,3.6,10.7,44
234,Jonas Valančiūnas,DEN,C,33.0,10.4,0.4,2.9,0.0,0.0385,1.0864864864864865,-0.686,-0.066,10.45,-0.05,Fair,8.7,13.4,65
235,Brook Lopez,LAC,C,37.0,8.75,0.5,2.3,-0.9,0.0571,1.0864864864864865,-0.586,-0.067,11.08,-2.33,Fair,8.5,21.8,75
236,Terance Mann,BRK,SG,29.0,15.5,-0.6,1.8,-3.4,-0.0387,0.4457142857142857,-1.046,-0.0675,4.19,11.31,Poor Value,7.2,24.3,63
237,Mike Conley,MIN,PG,38.0,11.5,0.2,1.9,-1.3,0.0174,0.9902777777777777,-0.79,-0.0687,9.2,2.3,Fair,4.5,18.4,54
238,Kris Dunn,LAC,PG,31.0,5.43,0.6,4.0,-0.8,0.1105,0.9902777777777777,-0.39,-0.0718,11.71,-6.28,Fair,7.3,27.2,82
239,Clint Capela,HOU,C,31.0,6.7,0.6,3.0,0.4,0.0896,1.0864864864864865,-0.486,-0.0725,11.71,-5.01,Fair,3.8,12.3,75
240,Tari Eason,HOU,PF,24.0,5.68,0.2,2.9,-1.6,0.0352,0.61375,-0.414,-0.0729,9.2,-3.52,Fair,10.5,25.8,60
241,Keegan Murray,SAC,PF,25.0,11.14,-0.2,0.2,-3.1,-0.018,0.61375,-0.814,-0.0731,6.69,4.45,Fringe,14.0,34.5,23
242,Maxi Kleber,LAL,PF,34.0,11.0,-0.2,0.6,-3.9,-0.0182,0.61375,-0.814,-0.074,6.69,4.31,Fringe,2.0,10.7,43
243,Bilal Coulibaly,WAS,SG,21.0,7.28,-0.1,1.0,-2.1,-0.0137,0.4457142857142857,-0.546,-0.075,7.32,-0.04,Fringe,11.7,26.2,56
244,Kevin Love,UTA,PF,37.0,4.15,0.3,1.1,0.2,0.0723,0.61375,-0.314,-0.0757,9.83,-5.68,Fair,6.7,16.6,37
245,Jalen Smith,CHI,C,25.0,9.0,0.4,2.6,-0.7,0.0444,1.0864864864864865,-0.686,-0.0762,10.45,-1.45,Fair,10.2,20.7,53
246,Dennis Schröder,CLE,PG,32.0,14.1,-0.1,1.5,-2.2,-0.0071,0.9902777777777777,-1.09,-0.0773,7.32,6.78,Fringe,10.8,24.2,70
247,Lonzo Ball,CLE,PG,28.0,10.0,0.2,0.6,-1.1,0.02,0.9902777777777777,-0.79,-0.079,9.2,0.8,Fair,4.6,20.8,35
248,Dorian Finney-Smith,HOU,PF,32.0,12.7,-0.4,0.5,-4.3,-0.0315,0.61375,-1.014,-0.0798,5.44,7.26,Fringe,3.3,16.8,37
249,Russell Westbrook,SAC,SF,37.0,2.3,0.7,0.4,-0.4,0.3043,0.8842857142857142,-0.184,-0.08,12.33,-10.03,Elite Value,15.2,29.0,64
250,Kelly Oubre Jr.,PHI,SF,30.0,8.38,0.2,2.7,-1.4,0.0239,0.8842857142857142,-0.684,-0.0816,9.2,-0.82,Fair,14.1,31.5,50
251,Zaccharie Risacher,ATL,SF,20.0,13.2,-0.2,2.3,-2.5,-0.0152,0.8842857142857142,-1.084,-0.0821,6.69,6.51,Fringe,9.6,22.4,67
252,Dalen Terry,PHI,SG,23.0,5.4,0.0,0.7,-1.7,0.0,0.4457142857142857,-0.446,-0.0826,7.95,-2.55,Fringe,3.7,11.5,48
253,Patrick Williams,CHI,PF,24.0,18.0,-0.9,-0.1,-4.5,-0.05,0.61375,-1.514,-0.0841,2.31,15.69,Overpaid,7.0,20.5,72
254,Scoot Henderson,POR,PG,21.0,10.75,0.0,1.0,-2.2,0.0,0.9902777777777777,-0.99,-0.0921,7.95,2.8,Fringe,14.2,24.9,30
255,Caleb Martin,DAL,SF,30.0,9.59,0.0,0.9,-2.2,0.0,0.8842857142857142,-0.884,-0.0922,7.95,1.64,Fringe,3.9,14.8,58
256,Derik Queen,NOP,C,21.0,5.16,0.6,2.7,-0.8,0.1163,1.0864864864864865,-0.486,-0.0942,11.71,-6.55,Fair,11.7,25.0,81
257,Blake Wesley,POR,SG,22.0,5.64,-0.1,0.3,-3.6,-0.0177,0.4457142857142857,-0.546,-0.0968,7.32,-1.68,Fringe,4.8,11.6,31
258,Herbert Jones,NOP,SF,27.0,13.94,-0.5,0.7,-3.1,-0.0359,0.8842857142857142,-1.384,-0.0993,4.81,9.13,Fringe,8.9,28.4,56
259,Ron Holland,DET,SF,20.0,8.66,0.0,2.8,-2.0,0.0,0.8842857142857142,-0.884,-0.1021,7.95,0.71,Fringe,8.2,19.9,78
260,Jevon Carter,ORL,PG,30.0,7.68,0.2,0.9,-1.1,0.026,0.9902777777777777,-0.79,-0.1029,9.2,-1.52,Fair,6.4,16.4,53
261,Vince Williams Jr.,UTA,SG,25.0,2.3,0.2,0.1,-1.0,0.087,0.4457142857142857,-0.246,-0.107,9.2,-6.9,Fair,7.5,20.5,40
262,Zeke Nnaji,DEN,PF,25.0,8.18,-0.3,0.9,-3.5,-0.0367,0.61375,-0.914,-0.1117,6.07,2.11,Fringe,3.7,12.0,52
263,Isaac Okoro,CHI,SG,25.0,11.0,-0.8,2.2,-3.8,-0.0727,0.4457142857142857,-1.246,-0.1133,2.93,8.07,Fringe,9.3,26.9,63
264,Olivier-Maxence Prosper,MEM,PF,23.0,1.0,0.5,2.4,-0.1,0.5,0.61375,-0.114,-0.114,11.08,-10.08,Elite Value,10.0,18.6,53
265,Taylor Hendricks,MEM,PF,22.0,6.13,-0.1,1.1,-2.4,-0.0163,0.61375,-0.714,-0.1165,7.32,-1.19,Fringe,7.4,18.9,59
266,Isaiah Jackson,LAC,C,24.0,7.6,0.2,2.6,-1.2,0.0263,1.0864864864864865,-0.886,-0.1166,9.2,-1.6,Fair,6.7,16.5,55
267,Bennedict Mathurin,LAC,SF,23.0,9.19,-0.2,2.1,-2.5,-0.0218,0.8842857142857142,-1.084,-0.118,6.69,2.5,Fringe,17.6,30.0,54
268,Jordan Miller,LAC,SF,26.0,0.71,0.8,3.5,0.2,1.1268,0.8842857142857142,-0.084,-0.1183,12.96,-12.25,Elite Value,10.0,22.1,60
269,Justin Champagnie,WAS,SF,24.0,2.35,0.6,3.1,-0.4,0.2553,0.8842857142857142,-0.284,-0.1209,11.71,-9.36,Fair,8.7,20.0,69
270,Jarace Walker,IND,PF,22.0,6.67,-0.2,0.5,-2.4,-0.03,0.61375,-0.814,-0.122,6.69,-0.02,Fringe,11.6,25.7,76
271,Ziaire Williams,BRK,SF,24.0,6.25,0.1,1.6,-1.7,0.016,0.8842857142857142,-0.784,-0.1254,8.57,-2.32,Fair,10.2,22.9,56
272,Aaron Nesmith,IND,SF,26.0,11.0,-0.5,0.7,-3.4,-0.0455,0.8842857142857142,-1.384,-0.1258,4.81,6.19,Fringe,13.8,29.7,45
273,Daniss Jenkins,DET,PG,24.0,3.81,0.5,2.9,-0.7,0.1312,0.9902777777777777,-0.49,-0.1286,11.08,-7.27,Fair,9.3,20.2,72
274,Egor Dёmin,BRK,PG,19.0,6.89,0.1,0.9,-1.6,0.0145,0.9902777777777777,-0.89,-0.1292,8.57,-1.68,Fair,10.3,25.2,52
275,Jared McCain,OKC,SG,21.0,4.22,-0.1,1.5,-2.4,-0.0237,0.4457142857142857,-0.546,-0.1294,7.32,-3.1,Fringe,8.3,17.3,67
276,Gabe Vincent,ATL,PG,29.0,11.5,-0.5,0.6,-4.3,-0.0435,0.9902777777777777,-1.49,-0.1296,4.81,6.69,Fringe,4.4,16.6,53
277,Peyton Watson,DEN,SF,23.0,4.36,0.3,2.6,-1.2,0.0688,0.8842857142857142,-0.584,-0.1339,9.83,-5.47,Fair,14.6,29.6,54
278,Kevon Looney,NOP,C,29.0,8.0,0.0,0.7,-1.8,0.0,1.0864864864864865,-1.086,-0.1358,7.95,0.05,Fringe,2.8,14.7,21
279,Andre Drummond,PHI,C,32.0,5.0,0.4,3.4,-0.6,0.08,1.0864864864864865,-0.686,-0.1372,10.45,-5.45,Fair,6.4,19.5,63
280,Zach Edey,MEM,C,23.0,6.04,0.2,0.8,0.5,0.0331,1.0864864864864865,-0.886,-0.1467,9.2,-3.16,Fair,13.6,25.8,11
281,Ochai Agbaji,BRK,SG,25.0,6.38,-0.5,0.9,-4.0,-0.0784,0.4457142857142857,-0.946,-0.1483,4.81,1.57,Fringe,5.1,15.7,62
282,Gary Harris,MIL,SG,31.0,3.63,-0.1,0.7,-2.5,-0.0275,0.4457142857142857,-0.546,-0.1504,7.32,-3.69,Fringe,2.7,13.8,48
283,Jose Alvarado,NYK,PG,27.0,4.5,0.3,2.2,-1.0,0.0667,0.9902777777777777,-0.69,-0.1533,9.83,-5.33,Fair,7.4,19.9,69
284,Tyus Jones,DEN,PG,29.0,7.0,-0.1,1.0,-2.4,-0.0143,0.9902777777777777,-1.09,-0.1557,7.32,-0.32,Fringe,3.0,14.6,67
285,Asa Newell,ATL,PF,20.0,3.24,0.1,1.2,-1.5,0.0309,0.61375,-0.514,-0.1586,8.57,-5.33,Fair,5.2,11.4,44
286,Jett Howard,ORL,SF,22.0,5.53,0.0,1.3,-1.8,0.0,0.8842857142857142,-0.884,-0.1599,7.95,-2.42,Fringe,5.5,12.6,55
287,Quinten Post,GSW,PF,25.0,1.96,0.3,1.9,-1.1,0.1531,0.61375,-0.314,-0.1602,9.83,-7.87,Fair,7.7,17.3,67
288,Kasparas Jakučionis,MIA,PG,19.0,3.66,0.4,2.3,-0.4,0.1093,0.9902777777777777,-0.59,-0.1612,10.45,-6.79,Fair,6.2,17.8,53
289,Carter Bryant,SAS,PF,20.0,4.9,-0.2,1.3,-3.0,-0.0408,0.61375,-0.814,-0.1661,6.69,-1.79,Fringe,4.2,11.5,71
290,Cam Thomas,MIL,SG,24.0,6.84,-0.7,-0.4,-5.2,-0.1023,0.4457142857142857,-1.146,-0.1675,3.56,3.28,Fringe,13.5,21.0,42
291,Jock Landale,ATL,C,30.0,2.3,0.7,3.8,-0.1,0.3043,1.0864864864864865,-0.386,-0.1678,12.33,-10.03,Elite Value,10.6,22.1,68
292,Gradey Dick,TOR,SG,22.0,4.99,-0.4,1.4,-3.6,-0.0802,0.4457142857142857,-0.846,-0.1695,5.44,-0.45,Fringe,6.0,14.0,76
293,Jaden Hardy,WAS,SG,23.0,6.0,-0.6,-0.2,-4.8,-0.1,0.4457142857142857,-1.046,-0.1743,4.19,1.81,Fringe,9.2,15.8,57
293,D'Angelo Russell,DAL,PG,29.0,5.68,0.0,0.0,-2.3,0.0,0.9902777777777777,-0.99,-0.1743,7.95,-2.27,Fringe,10.2,19.0,26
295,Ryan Dunn,PHO,SF,23.0,2.66,0.4,2.6,-0.9,0.1504,0.8842857142857142,-0.484,-0.182,10.45,-7.79,Fair,5.8,19.4,70
296,Jase Richardson,ORL,SG,20.0,2.98,-0.1,1.0,-2.5,-0.0336,0.4457142857142857,-0.546,-0.1832,7.32,-4.34,Fringe,4.4,10.9,54
297,Jeremiah Fears,NOP,PG,19.0,7.52,-0.4,0.6,-2.7,-0.0532,0.9902777777777777,-1.39,-0.1848,5.44,2.08,Fringe,14.3,25.8,82
298,Tre Mann,CHO,PG,24.0,8.0,-0.5,0.0,-5.3,-0.0625,0.9902777777777777,-1.49,-0.1862,4.81,3.19,Fringe,5.5,12.6,53
299,Mouhamed Gueye,ATL,PF,23.0,2.22,0.2,2.7,-1.3,0.0901,0.61375,-0.414,-0.1865,9.2,-6.98,Fair,4.4,15.3,77
299,GG Jackson II,MEM,PF,21.0,2.22,0.2,1.3,-1.2,0.0901,0.61375,-0.414,-0.1865,9.2,-6.98,Fair,12.5,21.4,55
301,Tre Johnson,WAS,SG,19.0,8.24,-1.1,-0.7,-5.0,-0.1335,0.4457142857142857,-1.546,-0.1876,1.1,7.14,Fringe,12.2,24.1,60
302,Sion James,CHO,SG,23.0,2.3,0.0,3.1,-2.0,0.0,0.4457142857142857,-0.446,-0.1939,7.95,-5.65,Fringe,5.4,22.5,82
303,Seth Curry,GSW,SG,35.0,1.76,0.1,0.4,0.2,0.0568,0.4457142857142857,-0.346,-0.1966,8.57,-6.81,Fair,7.1,13.3,10
303,Kyshawn George,WAS,SF,22.0,2.97,0.3,0.6,-1.2,0.101,0.8842857142857142,-0.584,-0.1966,9.83,-6.86,Fair,14.8,29.0,48
305,Julian Strawther,DEN,SG,23.0,2.67,-0.1,1.3,-2.3,-0.0375,0.4457142857142857,-0.546,-0.2045,7.32,-4.65,Fringe,7.2,15.1,57
306,Nikola Jović,MIA,PF,22.0,4.45,-0.3,0.0,-3.5,-0.0674,0.61375,-0.914,-0.2054,6.07,-1.62,Fringe,7.3,17.2,47
307,Svi Mykhailiuk,UTA,SF,28.0,3.68,0.1,1.1,-1.7,0.0272,0.8842857142857142,-0.784,-0.213,8.57,-4.89,Fair,9.4,23.1,50
308,Guerschon Yabusele,CHI,C,30.0,5.5,-0.1,1.4,-2.2,-0.0182,1.0864864864864865,-1.186,-0.2156,7.32,-1.82,Fringe,5.6,15.0,67
309,Moritz Wagner,ORL,C,28.0,5.0,0.0,0.9,-2.2,0.0,1.0864864864864865,-1.086,-0.2172,7.95,-2.95,Fringe,6.9,11.9,36
310,Kris Murray,POR,SF,25.0,3.13,0.2,2.2,-1.5,0.0639,0.8842857142857142,-0.684,-0.2185,9.2,-6.07,Fair,5.8,23.4,57
311,Devin Carter,SAC,PG,23.0,4.92,-0.1,0.2,-2.6,-0.0203,0.9902777777777777,-1.09,-0.2215,7.32,-2.4,Fringe,8.9,18.4,38
312,Kyle Filipowski,UTA,C,22.0,3.0,0.4,3.1,-1.1,0.1333,1.0864864864864865,-0.686,-0.2287,10.45,-7.45,Fair,11.4,23.4,77
313,Ace Bailey,UTA,SF,19.0,9.07,-1.2,-0.1,-4.4,-0.1323,0.8842857142857142,-2.084,-0.2298,1.1,7.97,Fringe,13.8,27.6,72
314,Cole Anthony,MIL,PG,25.0,6.0,-0.4,-0.5,-4.7,-0.0667,0.9902777777777777,-1.39,-0.2317,5.44,0.56,Fringe,6.7,15.1,35
315,Amir Coffey,PHO,SG,28.0,2.3,-0.1,0.8,-3.1,-0.0435,0.4457142857142857,-0.546,-0.2374,7.32,-5.02,Fringe,3.2,10.7,46
316,Ousmane Dieng,MIL,C,22.0,6.67,-0.5,0.3,-3.8,-0.075,1.0864864864864865,-1.586,-0.2378,4.81,1.86,Fringe,7.6,19.3,57
317,Jordan Hawkins,NOP,SG,23.0,4.74,-0.7,-0.4,-6.2,-0.1477,0.4457142857142857,-1.146,-0.2418,3.56,1.18,Fringe,5.1,13.6,51
318,Terrence Shannon Jr.,MIN,SG,25.0,2.67,-0.2,1.0,-3.6,-0.0749,0.4457142857142857,-0.646,-0.2419,6.69,-4.02,Fringe,5.6,12.5,43
319,Jalen Pickett,DEN,SG,26.0,2.22,-0.1,1.0,-2.3,-0.045,0.4457142857142857,-0.546,-0.2459,7.32,-5.1,Fringe,5.2,16.1,50
320,Dwight Powell,DAL,C,34.0,4.0,0.1,2.6,-1.4,0.025,1.0864864864864865,-0.986,-0.2465,8.57,-4.57,Fair,3.3,14.3,63
321,Nikola Topić,OKC,PG,20.0,5.18,-0.3,0.0,-8.4,-0.0579,0.9902777777777777,-1.29,-0.249,6.07,-0.89,Fringe,5.2,16.0,10
322,Jaylen Clark,MIN,SG,24.0,2.19,-0.1,1.7,-2.4,-0.0457,0.4457142857142857,-0.546,-0.2493,7.32,-5.13,Fringe,4.0,13.1,68
323,Trendon Watford,PHI,PF,25.0,2.46,0.0,1.4,-1.9,0.0,0.61375,-0.614,-0.2496,7.95,-5.49,Fringe,6.5,16.3,53
