season,team_abbr,wins,total_vorp,top_player_vorp,vorp_concentration,avg_age,avg_bpm
2017,ORL,25.2,1.7,1.7,1.0,25.47,-1.6549
2017,PHI,27.4,2.6,1.8,0.6923,24.71,-1.4281
2017,PHO,29.0,4.1,2.9,0.7073,25.67,-1.1989
2017,POR,41.0,9.7,4.3,0.4433,24.33,-0.0559
2017,SAC,31.1,5.7,4.3,0.7544,26.74,-0.8618
2017,SAS,60.4,19.0,6.2,0.3263,28.75,1.798
2017,TOR,54.1,14.6,4.9,0.3356,25.12,0.9419
2017,UTA,52.7,15.1,5.4,0.3576,26.2,1.0271
2017,WAS,46.9,11.7,4.3,0.3675,25.67,0.3479
2026,ATL,45.9,10.7,4.0,0.3738,25.76,-0.0698
2026,BOS,57.7,18.7,3.5,0.1872,26.67,1.9123
2026,BRK,19.3,-1.0,2.1,2.1,23.31,-2.2016
2026,CHI,27.3,2.8,2.0,0.7143,25.07,-1.3511
2026,CHO,50.5,14.6,3.4,0.2329,24.4,0.9787
2026,CLE,53.2,16.6,4.2,0.253,27.75,1.1376
2026,DAL,27.9,4.7,2.0,0.4255,27.25,-1.0288
2026,DEN,54.3,15.5,9.2,0.5935,27.12,1.013
2026,DET,60.1,18.6,4.6,0.2473,25.87,1.6518
2026,GSW,38.0,10.9,2.5,0.2294,29.47,0.383
2026,HOU,55.6,15.7,4.7,0.2994,28.07,1.1613
2026,IND,23.9,3.7,1.4,0.3784,26.43,-1.0897
2026,LAC,38.7,8.5,5.3,0.6235,28.8,-0.2319
2026,LAL,48.7,13.1,6.6,0.5038,26.53,0.5632
2026,MEM,20.6,3.1,1.8,0.5806,24.07,-1.186
2026,MIA,46.1,13.0,2.4,0.1846,25.64,0.596
2026,MIL,24.8,2.0,3.0,1.5,27.38,-1.5442
2026,MIN,53.9,14.8,3.5,0.2365,27.8,0.7795
2026,NOP,30.7,5.1,2.6,0.5098,25.27,-0.8861
2026,NYK,58.8,17.7,3.3,0.1864,26.33,1.4334
2026,OKC,63.6,21.5,7.8,0.3628,25.07,2.464
2026,ORL,40.5,11.1,2.3,0.2072,24.64,0.337
2026,PHI,42.2,9.5,4.9,0.5158,26.71,-0.0794
2026,PHO,43.4,11.3,2.6,0.2301,26.14,0.4221
2026,POR,42.9,11.0,3.5,0.3182,25.2,0.2395
2026,SAC,17.3,-0.6,1.1,1.1,28.0,-2.1241
2026,SAS,59.6,19.4,6.0,0.3093,27.13,1.951
2026,TOR,48.1,13.7,4.2,0.3066,25.5,0.8177
2026,UTA,20.3,2.9,1.6,0.5517,25.46,-1.3155
2026,WAS,8.9,-2.4,0.9,0.9,22.58,-2.6987
